S.no,District,VDC,treatment,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,FYM_t_ha,N_source,N_methods,N_time,barcode,latitude,longitude,altitude,precision,Straw_wt_kg_ha,cob_wt_kg_ha,grain_yield_kg_ha,1000_grain_wt_gm,moisture%,Yield_kg_ha,Yield_t_ha,NUE_N,AE_N,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,narc_dist,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,farmer_id,predicted_AE_N,INS_kg_ha,base_yield_kg_ha,yield_gap_kg_ha,N_demand_kg_ha
43,Surkhet,Babiyachaur,6,120,0,40,,Urea,top dressed ,knee ht+shoulder ht,T6-CJP417xQ,28.80449044,81.39838616,355.0,5.0,21667,14233,8967,408,16.0,8569.0,8.6,71,10.0,28.80449044,81.39838616,7.27,2.89,0.13,117.89,452.2,29.01,24.13,47.1,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_027,8.805152837577342,56.35,2254.0,5746.0,300.0
44,Surkhet,Babiyachaur,6,120,0,40,,Urea,top dressed ,knee ht+shoulder ht,T6-FMS377dY,28.80567904,81.40030633,366.0,5.0,22847,15107,8600,384,16.0,8229.0,8.2,69,17.8,28.80567904,81.40030633,7.2,3.26,0.16,144.71,507.95,31.32,23.37,45.12,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_154,21.290448671022013,64.9,2596.0,5404.0,253.8227391776516
45,Surkhet,Babiyachaur,6,120,0,40,,Urea,top dressed ,knee ht+shoulder ht,T6-AUF464zK,28.80449957,81.39977796,369.0,5.0,21050,15517,9833,419,18.0,9185.0,9.2,77,11.1,28.80449957,81.39977796,7.25,2.93,0.13,118.66,495.33,29.13,25.13,46.0,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_129,9.01733265767216,56.95,2278.0,5722.0,300.0
46,Surkhet,Babiyachaur,7,0,60,40,,,,,T7-YJD718dF,28.80448905,81.39839078,355.0,5.0,19700,13467,9933,374,16.0,9504.0,9.5,0,0.0,28.80448905,81.39839078,7.27,2.89,0.13,117.92,452.3,29.0,24.13,47.11,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_027,8.605152837577341,56.35,2254.0,5746.0,300.0
47,Surkhet,Babiyachaur,7,0,60,40,,,,,T7-HQG139bF,28.8056378,81.40025781,368.0,5.0,19727,12017,9170,419,18.0,8566.0,8.6,0,0.0,28.8056378,81.40025781,7.17,3.3,0.16,146.39,518.22,31.1,23.52,45.17,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_154,13.634639142056818,65.5,2620.0,5380.0,300.0
48,Surkhet,Babiyachaur,7,0,60,40,,,,,T7-WEB679iS,28.80450175,81.399783,365.0,4.0,22383,15103,8963,334,18.0,8342.0,8.3,0,0.0,28.80450175,81.399783,7.25,2.93,0.13,118.73,495.39,29.13,25.13,46.0,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_129,8.691851597066101,56.95,2278.0,5722.0,300.0
49,Surkhet,Babiyachaur,8,0,0,0,,,,,T8-EUO866nU,28.80448862,81.39839939,355.0,5.0,19450,13783,7983,419,19.0,7366.0,7.4,0,0.0,28.80448862,81.39839939,7.27,2.89,0.13,118.01,452.5,28.99,24.12,47.12,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_027,8.339925564850068,56.35,2254.0,5746.0,300.0
50,Surkhet,Babiyachaur,8,0,0,0,,,,,T8-IIC865tZ,28.80563497,81.40025471,369.0,5.0,16630,8933,6427,334,17.0,6091.0,6.1,0,0.0,28.80563497,81.40025471,7.17,3.3,0.16,146.5,518.92,31.08,23.53,45.17,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_154,10.817177695853752,65.5,2620.0,5380.0,300.0
51,Surkhet,Babiyachaur,8,0,0,0,,,,,T8-TPL735gR,28.80448923,81.39977757,360.0,5.0,18483,10010,8433,334,18.0,7858.0,7.9,0,0.0,28.80448923,81.39977757,7.26,2.92,0.13,118.16,493.95,29.11,25.14,46.02,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_129,8.794502311351813,56.8,2272.0,5728.0,300.0
52,Surkhet,Babiyachaur,9,120,60,40,,Urea ,top dressed ,V6 and V10 stages,T9-PRX308tF,28.80448276,81.39841089,355.0,5.0,22900,15100,9733,334,17.0,9158.0,9.2,76,14.9,28.80448276,81.39841089,7.27,2.89,0.13,118.02,452.7,28.95,24.13,47.13,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_027,9.037414453738958,56.35,2254.0,5746.0,300.0
53,Surkhet,Babiyachaur,9,120,60,40,,Urea ,top dressed ,V6 and V10 stages,T9-JJL262gO,28.80563956,81.40025307,367.0,5.0,23183,15470,9767,334,16.0,9363.0,9.4,78,27.3,28.80563956,81.40025307,7.17,3.3,0.16,146.53,518.57,31.11,23.52,45.16,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_154,17.755537273392846,65.5,2620.0,5380.0,300.0
55,Surkhet,Guthu,1,120,60,40,,Urea,top dressed ,knee ht+shoulder ht,T1-KGG392jT,28.83349251,81.30619469,357.0,5.0,13040,12720,8417,398,19.0,7738.0,7.7,64,17.8,28.83349251,81.30619469,7.01,1.99,0.1,83.52,403.6,35.42,31.54,35.18,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_075,24.74842323645429,39.85,1594.0,6406.0,258.8447732122181
56,Surkhet,Guthu,2,120,60,40,,PCU,basal ,planting time,T2-YFM962pX,28.83351748,81.30619414,352.0,5.0,16767,14460,9733,381,19.0,8970.0,9.0,75,28.0,28.83351748,81.30619414,6.99,2.0,0.1,83.78,404.66,35.39,31.61,35.13,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_075,29.400718247533963,40.0,1600.0,6400.0,217.68175682363852
57,Surkhet,Guthu,3,60,60,40,,PCU,basal ,planting time,T3-YUE969mA,28.83351297,81.30618515,352.0,4.0,11456,13150,8327,408,20.0,7551.0,7.6,126,32.4,28.83351297,81.30618515,7.0,2.0,0.1,83.67,404.34,35.38,31.61,35.13,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_075,29.694718247533956,40.0,1600.0,6400.0,215.52654403553728
58,Surkhet,Guthu,4,78,60,40,,UDP,basal ,planting time,T4-NLO320sU,28.83352369,81.30618695,363.0,5.0,15757,15710,9920,374,18.0,9244.0,9.2,119,46.6,28.83352369,81.30618695,6.99,2.0,0.1,83.79,404.82,35.37,31.64,35.11,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_075,32.694201580867286,40.0,1600.0,6400.0,195.753365751109
59,Surkhet,Guthu,5,60,60,40,6.0,Urea,top dressed ,knee ht+shoulder ht,T5-SQX155gZ,28.83351654,81.30618801,371.0,5.0,9203,12613,8077,419,18.0,7508.0,7.5,125,31.7,28.83351654,81.30618801,6.99,2.0,0.1,83.72,404.53,35.38,31.62,35.13,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_075,29.58255158086729,40.0,1600.0,6400.0,216.34374514669122
60,Surkhet,Guthu,6,120,0,40,,Urea,top dressed ,knee ht+shoulder ht,T6-MBH706uW,28.83356418,81.30618851,372.0,5.0,14597,15137,9697,334,21.0,8705.0,8.7,73,25.8,28.83356418,81.30618851,6.97,2.02,0.1,84.24,406.56,35.33,31.73,35.04,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_075,22.050477894099277,40.3,1612.0,6388.0,289.6989367159899
61,Surkhet,Guthu,7,0,60,40,,,,,T7-ZGO408eE,28.83355033,81.3062491,365.0,5.0,10983,12283,7783,334,19.0,7191.0,7.2,0,0.0,28.83355033,81.3062491,6.98,2.04,0.1,84.51,406.91,35.42,31.6,35.1,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_075,10.228699624813236,40.6,1624.0,6376.0,300.0
62,Surkhet,Guthu,8,0,0,0,,,,,T8-MIV404bC,28.83355282,81.30625304,365.0,5.0,14273,11107,6090,331,19.0,5606.0,5.6,0,0.0,28.83355282,81.30625304,6.98,2.04,0.1,84.56,407.08,35.43,31.6,35.1,Surkhet,direct_overlay,False,0.0,direct_overlay,FMR_075,11.141866291479904,40.6,1624.0,6376.0,300.0
