province,district,palika,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,maize_urea_total,maize_dap,maize_mop,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,OC,P_Olsen,Exch_K,n_supply,p_supply,k_supply,target_yield_t_ha,quefts_N_kg_ha,quefts_P2O5_kg_ha,quefts_K2O_kg_ha,IE_N_kg_grain_per_kg_uptake,RE_N_fraction,dsm_interpretation
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,28.0,83.04,6.47,2.62,0.11,157.53,443.76,51.02,12.31,38.14,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.19721577726218,60.58846153846154,3.623065119024198,89.64837587006959,35.02576992236302,46.913250918866964,6.0,120.70324825986083,0.0,249.46993277634195,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sandhikharka Nagarpalika,28.0,83.08,6.46,2.96,0.13,166.93,412.31,48.91,13.32,38.67,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,17.16937354988399,64.20384615384616,3.3662925437733615,100.99025522041762,37.47542191683027,39.34829907188634,6.0,98.01948955916475,0.0,267.77711624603506,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Chhatradev Gaunpalika,28.0,83.18,6.67,2.47,0.11,140.43,295.48,41.13,12.52,43.26,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,14.327146171693737,54.011538461538464,2.4124375368876647,89.38706496519723,30.89476560547921,29.640343616627572,6.0,121.22587006960555,0.0,291.27036844776126,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Chhatradev Gaunpalika,28.02,83.2,6.62,2.94,0.12,158.48,331.68,40.05,12.54,44.98,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,17.053364269141532,60.95384615384615,2.707991343694668,104.94640371229698,35.29842075673746,29.346412009748757,6.0,90.10719257540603,0.0,291.981682936408,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Chhatradev Gaunpalika,28.02,83.22,6.66,2.73,0.12,166.55,321.15,36.62,12.54,51.85,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.835266821345709,64.0576923076923,2.6220194766869955,98.52703016241301,36.364067151525965,29.686149272494173,6.0,102.94593967517397,0.0,291.1595187605641,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,28.04,82.98,6.66,2.28,0.1,180.46,444.36,51.81,12.97,34.04,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,13.22505800464037,69.40769230769232,3.6279638009049773,82.2863109048724,38.32447028377655,48.01602824882647,6.0,135.4273781902552,0.0,246.80121163783994,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,28.04,83.02,6.55,2.61,0.11,153.59,342.16,49.8,12.88,38.06,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.139211136890951,59.073076923076925,2.793554987212276,91.36513921113688,34.033830369891135,34.862919132861485,6.0,117.26972157772624,0.0,278.63173569847515,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,28.04,83.06,6.47,2.87,0.12,162.32,377.37,50.26,11.43,36.73,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,16.647331786542924,62.43076923076923,3.0810259689159945,98.2026102088167,36.398406512136354,36.82877315368086,6.0,103.59477958236661,0.0,273.8743689680923,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Malarani Gaunpalika,28.04,83.18,6.57,2.9,0.12,155.37,295.31,41.86,11.45,45.61,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,16.82134570765661,59.75769230769231,2.4110495770214437,102.08874709976797,34.80989748795288,27.15017422030252,6.0,95.82250580046406,0.0,297.2965783868679,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,28.06,82.98,6.65,2.14,0.1,209.01,533.58,53.34,13.07,33.19,10.44,1.08,0.83,NARC_API_modelled_DSM,False,0,none,12.412993039443156,80.38846153846153,4.356397796576824,77.02262180974479,43.62099266018204,61.186784976229156,6.0,145.95475638051042,0.0,214.92798035752546,40.0,0.5,modelled spatial covariate
