year,study,district,site,N0-P0-K0,N0-P60-K40,latitude,longitude,control_yield_t_ha,n_omission_yield_t_ha,pk_yield_response_t_ha,pk_yield_response_pct_control
2018,"2018 N source, timing and FYM trial",Surkhet,Lekhpharsa,6.067333333333333,8.210333333333333,28.464976398333334,81.79503254166667,6.067333333333333,8.210333333333333,2.143,35.32029447313482
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-1,7.2225,7.1899999999999995,28.4430835225,81.7964786775,7.2225,7.1899999999999995,-0.03250000000000064,-0.449982692973356
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-2,5.8614999999999995,5.986,28.4239202375,81.79688430750001,5.8614999999999995,5.986,0.12450000000000028,2.12402968523416
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-8,6.202,8.593,28.439116159999998,81.810719465,6.202,8.593,2.391,38.55207997420187
2018,"2018 N source, timing and FYM trial",Surkhet,Ramghat,6.749333333333333,7.943666666666666,28.48846730833333,81.74245886666667,6.749333333333333,7.943666666666666,1.1943333333333328,17.69557487159225
2019,2019 T1-T10 core trial,Dang,Dhikpur,5.545,7.065,28.040362873580307,82.3734474554658,5.545,7.065,1.5200000000000005,27.41208295761949
2019,2019 T1-T10 core trial,Dang,Laxmipur,5.8759999999999994,8.4195,27.97847970155999,82.46624847175553,5.8759999999999994,8.4195,2.5435,43.28624914908101
2019,2019 T1-T10 core trial,Dang,Panchakule,6.28,8.639,28.13411995070055,82.11969273397699,6.28,8.639,2.358999999999999,37.563694267515906
2019,2019 T1-T10 core trial,Dang,Shantinagar,5.739,7.3795,28.165754531510174,82.22757103387266,5.739,7.3795,1.6405000000000003,28.585119358773312
2019,2019 T1-T10 core trial,Dang,Shreegau,4.588,6.268000000000001,28.109673773869872,82.18611426651478,4.588,6.268000000000001,1.6800000000000006,36.617262423714045
2019,2019 T1-T10 core trial,Doti,Chhatiwan,6.86934,8.194165,29.080739772180095,80.59061547741294,6.86934,8.194165,1.3248249999999997,19.286059504988827
2019,2019 T1-T10 core trial,Doti,Dipayal,7.31943,8.738366666666666,29.25470156944357,80.93250743346289,7.31943,8.738366666666666,1.4189366666666663,19.385890249195175
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,7.226999999999999,8.432599999999999,29.12430316954851,80.58115516696125,7.226999999999999,8.432599999999999,1.2055999999999996,16.68188736681887
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,2.926757,4.507761500000001,27.556928058620542,85.66751964390278,2.926757,4.507761500000001,1.581004500000001,54.01898756883476
2019,2019 T1-T10 core trial,Kavre,Rabiopi,3.3426345,3.7852705,27.650316499639302,85.57624184992164,3.3426345,3.7852705,0.44263600000000025,13.242129823048264
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,2.7423200000000003,4.57054,,,2.7423200000000003,4.57054,1.82822,66.66690976982991
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,6.008915,8.418527,27.884923266246915,85.15010325238109,6.008915,8.418527,2.409611999999999,40.10061716632702
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,1.620814,1.773721,27.884346486534923,85.15048190485686,1.620814,1.773721,0.15290700000000013,9.433963428252724
2019,2019 T1-T10 core trial,Palpa,Chidi pani,8.049409091000001,4.5995,27.86681341007352,83.54837232967839,8.049409091000001,4.5995,-3.449909091000001,-42.859159622752
2019,2019 T1-T10 core trial,Palpa,Devinagar,5.6600776515,7.692537879,27.809342356631532,83.69690019870177,5.6600776515,7.692537879,2.0324602274999997,35.908698654714904
2019,2019 T1-T10 core trial,Palpa,Khasyauli,5.869181818,5.0151515075,27.884640879929066,83.47849565092474,5.869181818,5.0151515075,-0.8540303105000007,-14.551096506855576
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,6.973,9.213,28.217880476731807,82.38473758567125,6.973,9.213,2.2399999999999993,32.12390649648644
2019,2019 T1-T10 core trial,Surkhet,Kalyan,6.977,7.865,28.501447626622394,81.74197743879631,6.977,7.865,0.8879999999999999,12.727533323778125
2019,2019 T1-T10 core trial,Surkhet,Kunathari,6.712999999999999,7.3705,28.714248400647193,81.50840313406661,6.712999999999999,7.3705,0.6575000000000006,9.794428720393276
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,5.964499999999999,7.2765,28.465095773572102,81.79056592751294,5.964499999999999,7.2765,1.3120000000000012,21.99681448570712
2019,2019 T1-T10 core trial,Surkhet,Maintada-2,4.5675,5.1370000000000005,28.44778362312354,81.79641574155539,4.5675,5.1370000000000005,0.5695000000000006,12.468527640941447
2019,2019 T1-T10 core trial,Surkhet,Ramghat,5.5158000000000005,8.2078,28.489946932531893,81.74422927480191,5.5158000000000005,8.2078,2.692,48.805250371659604
