year,study,dataset_type,district,site,latitude,longitude,variety,treatment_code,treatment,adjusted_yield_kg_ha,yield_t_ha,treatment_label
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.09186018,82.41422835,,7,N0-P60-K40,6021.0,6.021,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.09176286,82.42599646,,7,N0-P60-K40,5206.0,5.206,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.08769307,82.42310411,,8,N0-P0-K0,5525.0,5.525,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.09181693,82.41416255,,8,N0-P0-K0,3810.0,3.81,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.09175997,82.42595446,,8,N0-P0-K0,5896.0,5.896,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.97640516,82.46336323,,7,N0-P60-K40,6553.0,6.553,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.98064749,82.46882941,,7,N0-P60-K40,6371.0,6.371,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.97633094,82.45876911,,7,N0-P60-K40,5949.0,5.949,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.97651597,82.46350346,,8,N0-P0-K0,3180.0,3.18,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.98068224,82.46866956,,8,N0-P0-K0,5033.0,5.033,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.97638286,82.45877925,,8,N0-P0-K0,5515.0,5.515,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Panchakaule,28.11221194,82.17595917,,7,N0-P60-K40,5592.0,5.592,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Panchakaule,28.10637738,82.17761359,,7,N0-P60-K40,8091.0,8.091,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Panchakaule,28.11110599,82.18931783,,7,N0-P60-K40,8308.0,8.308,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Panchakaule,28.13503582,82.12234718,,7,N0-P60-K40,7643.0,7.643,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Panchakaule,28.11207976,82.17598625,,8,N0-P0-K0,3204.0,3.204,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Panchakaule,28.10644745,82.17772549,,8,N0-P0-K0,5942.0,5.942,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Panchakaule,28.11101442,82.18944641,,8,N0-P0-K0,6160.0,6.16,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Panchakaule,28.1351105,82.122287,,8,N0-P0-K0,7643.0,7.643,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Pawannagar,28.17022183,82.26104169,,7,N0-P60-K40,4325.0,4.325,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Pawannagar,28.17083945,82.26036527,,7,N0-P60-K40,5315.0,5.315,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Pawannagar,28.17027598,82.2594633,,7,N0-P60-K40,7919.0,7.919,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Pawannagar,28.17019049,82.26093063,,8,N0-P0-K0,4984.0,4.984,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Pawannagar,28.17088765,82.26043132,,8,N0-P0-K0,6312.0,6.312,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Pawannagar,28.17030632,82.25940471,,8,N0-P0-K0,6175.0,6.175,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Purandhara,28.18215356,82.09927054,,7,N0-P60-K40,9073.0,9.073,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Purandhara,28.19535476,82.10249003,,7,N0-P60-K40,6865.0,6.865,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Purandhara,28.18520989,82.09240308,,7,N0-P60-K40,7721.0,7.721,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Purandhara,28.18212368,82.09919116,,8,N0-P0-K0,6252.0,6.252,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Purandhara,28.19538209,82.10246547,,8,N0-P0-K0,5520.0,5.52,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Purandhara,28.18522037,82.09231658,,8,N0-P0-K0,7191.0,7.191,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Shantinagar,28.16893584,82.22765121,,7,N0-P60-K40,5732.0,5.732,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Shantinagar,28.15940193,82.22264654,,7,N0-P60-K40,7295.0,7.295,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Shantinagar,28.16830167,82.2261868,,7,N0-P60-K40,6260.0,6.26,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Shantinagar,28.16910721,82.22765582,,8,N0-P0-K0,5553.0,5.553,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Shantinagar,28.15941651,82.22264838,,8,N0-P0-K0,5951.0,5.951,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Shantinagar,28.16827996,82.22616342,,8,N0-P0-K0,6091.0,6.091,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Doti,Chattiwan,29.08328866,80.59333696,,7,N0-P60-K40,6237.0,6.237,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Doti,Chattiwan,29.08355296,80.59553985,,7,N0-P60-K40,5395.0,5.395,0–60–40 (−N)
