year,study,district,site,N_rate_kg_ha,mean_yield_t_ha,sd_yield_t_ha,n_observations
2019,2019 T1-T10 core trial,Dang,Panchakule,60,9.51,1.1455129855222077,2
2019,2019 T1-T10 core trial,Dang,Panchakule,120,9.692499999999999,2.929543394455866,2
2019,2019 T1-T10 core trial,Dang,Panchakule,180,8.84,2.7619590873146542,2
2019,2019 T1-T10 core trial,Dang,Panchakule,210,8.8305,1.7005918087536458,2
2019,2019 T1-T10 core trial,Dang,Shantinagar,0,7.3795,1.231072906045779,2
2019,2019 T1-T10 core trial,Dang,Shantinagar,60,8.697,0.4879036790187168,2
2019,2019 T1-T10 core trial,Dang,Shantinagar,120,8.4175,1.489873987960056,2
2019,2019 T1-T10 core trial,Dang,Shantinagar,180,8.592,1.9756563466352142,2
2019,2019 T1-T10 core trial,Dang,Shantinagar,210,8.677,1.9219162312650362,2
2019,2019 T1-T10 core trial,Dang,Shreegau,0,6.268000000000001,0.6066976182580578,2
2019,2019 T1-T10 core trial,Dang,Shreegau,60,8.367,0.17819090885901107,2
2019,2019 T1-T10 core trial,Dang,Shreegau,120,8.4595,0.9128748545118331,2
2019,2019 T1-T10 core trial,Dang,Shreegau,180,9.097000000000001,0.3238549057834383,2
2019,2019 T1-T10 core trial,Dang,Shreegau,210,8.552,0.03676955262170019,2
2019,2019 T1-T10 core trial,Doti,Chhatiwan,0,8.194165,0.7733414733802911,2
2019,2019 T1-T10 core trial,Doti,Chhatiwan,60,8.910165,0.089328799667298,2
2019,2019 T1-T10 core trial,Doti,Chhatiwan,120,10.104665,0.3639266470732815,2
2019,2019 T1-T10 core trial,Doti,Chhatiwan,180,9.573665,0.2126057958993594,2
2019,2019 T1-T10 core trial,Doti,Chhatiwan,210,10.053615,2.072367341098099,2
2019,2019 T1-T10 core trial,Doti,Dipayal,0,8.738366666666666,0.9844602005837176,3
2019,2019 T1-T10 core trial,Doti,Dipayal,60,9.994016666666667,0.3122635198567598,3
2019,2019 T1-T10 core trial,Doti,Dipayal,120,8.761383333333333,0.0969974444680549,3
2019,2019 T1-T10 core trial,Doti,Dipayal,180,9.16084,2.784330093738887,3
2019,2019 T1-T10 core trial,Doti,Dipayal,210,9.569173333333334,0.7273704119177068,3
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,0,8.432599999999999,1.3048761627066379,5
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,60,9.8876,2.2606061797668335,5
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,120,9.2828,1.652871652609482,5
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,180,9.581,1.7827825161808157,5
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,210,10.2514,1.6380704502554215,5
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,0,4.507761500000001,0.5020861197289767,2
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,60,8.289583,0.542923657662843,2
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,120,8.723449500000001,0.7213585183613636,2
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,180,9.5360765,0.6782900585328531,2
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,210,9.1423255,1.1643694020561093,2
2019,2019 T1-T10 core trial,Kavre,Rabiopi,0,3.7852705,0.3005089732620306,4
2019,2019 T1-T10 core trial,Kavre,Rabiopi,60,7.86511625,1.1159528359673547,4
2019,2019 T1-T10 core trial,Kavre,Rabiopi,120,7.813372,0.22090271701362132,4
2019,2019 T1-T10 core trial,Kavre,Rabiopi,180,8.4749015,1.084627889983012,4
2019,2019 T1-T10 core trial,Kavre,Rabiopi,210,7.207751999999999,1.078448025104594,4
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,0,4.57054,,1
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,60,5.55606,,1
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,120,6.6987,,1
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,180,7.398560000000001,,1
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,210,5.927422,,1
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,0,8.418527,,1
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,60,8.727907,,1
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,120,6.80155,,1
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,180,7.848372,,1
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,210,7.15644,,1
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,0,1.773721,,1
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,60,6.1162790000000005,,1
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,120,8.012326,,1
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,180,7.156046999999999,,1
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,210,7.156046999999999,,1
2019,2019 T1-T10 core trial,Palpa,Chidi pani,0,4.5995,5.769284227701041,2
2019,2019 T1-T10 core trial,Palpa,Chidi pani,60,9.0696969695,0.27695015620043334,2
2019,2019 T1-T10 core trial,Palpa,Chidi pani,120,7.6713257575,2.843051379208363,2
2019,2019 T1-T10 core trial,Palpa,Chidi pani,180,7.273,2.880753026553996,2
2019,2019 T1-T10 core trial,Palpa,Chidi pani,210,6.3708674245,3.431926692073092,2
2019,2019 T1-T10 core trial,Palpa,Devinagar,0,7.692537879,1.8041936662794247,2
2019,2019 T1-T10 core trial,Palpa,Devinagar,60,8.289874999999999,1.5533368215715488,2
2019,2019 T1-T10 core trial,Palpa,Devinagar,120,8.308282197,0.34083886113435197,2
2019,2019 T1-T10 core trial,Palpa,Devinagar,180,9.210090909000002,0.15359216442211987,2
2019,2019 T1-T10 core trial,Palpa,Devinagar,210,9.2685132575,0.5373609766015763,2
2019,2019 T1-T10 core trial,Palpa,Khasyauli,0,5.0151515075,1.0606601339318406e-08,2
2019,2019 T1-T10 core trial,Palpa,Khasyauli,60,4.17,0.0,2
2019,2019 T1-T10 core trial,Palpa,Khasyauli,120,7.301515152,0.0,2
2019,2019 T1-T10 core trial,Palpa,Khasyauli,180,6.993579522499999,3.181980433197371e-08,2
2019,2019 T1-T10 core trial,Palpa,Khasyauli,210,7.614,0.0,2
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,0,9.213,,1
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,60,10.023,,1
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,120,10.723,,1
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,180,9.627,,1
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,210,8.848,,1
2019,2019 T1-T10 core trial,Salyan,Sharadha sharma,0,13.129,,1
2019,2019 T1-T10 core trial,Salyan,Sharadha sharma,60,12.406,,1
2019,2019 T1-T10 core trial,Salyan,Sharadha sharma,120,12.293,,1
2019,2019 T1-T10 core trial,Salyan,Sharadha sharma,180,11.335,,1
2019,2019 T1-T10 core trial,Salyan,Sharadha sharma,210,12.918,,1
2019,2019 T1-T10 core trial,Surkhet,Babiyachaur,0,9.988320000000002,0.08915202297199927,2
2019,2019 T1-T10 core trial,Surkhet,Babiyachaur,60,12.619975,0.23674642140906801,2
2019,2019 T1-T10 core trial,Surkhet,Babiyachaur,120,12.5866425,0.03313855930030782,2
2019,2019 T1-T10 core trial,Surkhet,Babiyachaur,180,12.943175,0.09106828234901448,2
2019,2019 T1-T10 core trial,Surkhet,Babiyachaur,210,13.038888,0.17842849673748842,2
2019,2019 T1-T10 core trial,Surkhet,Kalyan,0,7.865,1.107329219338133,2
2019,2019 T1-T10 core trial,Surkhet,Kalyan,60,9.370999999999999,0.15273506473629442,2
2019,2019 T1-T10 core trial,Surkhet,Kalyan,120,9.2655,0.5310371926710974,2
2019,2019 T1-T10 core trial,Surkhet,Kalyan,180,8.341000000000001,1.5018948032402266,2
2019,2019 T1-T10 core trial,Surkhet,Kalyan,210,9.617,1.4736105319927655,2
2019,2019 T1-T10 core trial,Surkhet,Kunathari,0,7.3705,0.8973185053257299,2
2019,2019 T1-T10 core trial,Surkhet,Kunathari,60,8.776,1.3760297961890222,2
2019,2019 T1-T10 core trial,Surkhet,Kunathari,120,8.7385,0.6088189386016178,2
2019,2019 T1-T10 core trial,Surkhet,Kunathari,180,8.773499999999999,0.40375797205751907,2
2019,2019 T1-T10 core trial,Surkhet,Kunathari,210,8.279499999999999,0.8294362543318209,2
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,0,7.2765,1.390879038593939,2
