year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,source_treatment_label,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,grain_moisture_pct,recorded_yield_kg_ha,dry_yield_kg_ha,yield_14pct_kg_ha,yield_t_ha,strategy
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.17395940888673,82.2279879078269,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,27.4,9133.0,6630.557999999999,7709.951162790697,7.709951162790697,zn
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.157983417622745,82.22692240029573,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,31.4,9680.0,6640.48,7721.488372093023,7.721488372093023,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.173989919014275,82.22806351259351,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,29.8,8817.0,6189.534000000001,7197.132558139536,7.197132558139536,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.15798853058368,82.22696028649807,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,32.0,10000.0,6800.0,7906.976744186047,7.906976744186046,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.173939040862024,82.22806711681187,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,29.3,10433.0,7376.130999999999,8576.896511627907,8.576896511627908,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.10815690085292,82.18256000429392,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,17.3,9750.0,8063.25,9375.872093023256,9.375872093023256,gr
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.111599013209343,82.18974279239774,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,17.0,10650.0,8839.5,10278.488372093025,10.278488372093024,gr
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.10809789225459,82.18259076587856,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,17.5,8383.0,6915.975,8041.831395348838,8.041831395348838,fym
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.111616699025035,82.18963835388422,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,17.0,8717.0,7235.11,8412.918604651162,8.412918604651162,fym
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.10819109901786,82.1827008202672,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,17.1,8433.0,6990.957,8129.019767441861,8.12901976744186,zn
