year,study,dataset_type,district,site,government_recommendation,n_omission,latitude,longitude,response_t_ha,nutrient,yield_response_t_ha,AE_N_kg_kg,p_omission,AE_P_kg_kg,k_omission,AE_K_kg_kg
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.666720930232557,,28.09049318666667,82.42110177333333,0.2545813953488363,P,0.2545813953488363,,5.412139534883721,4.243023255813938,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.132759689922481,,27.97780688666667,82.46363846666668,-0.4189961240310076,P,-0.4189961240310076,,7.551755813953489,-6.983268733850127,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.273944767441861,,28.116166648750003,82.16631502749999,0.9899854651162796,P,0.9899854651162796,,7.283959302325582,16.49975775193799,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.785248062015505,,28.170482796666665,82.26027918833333,-1.865096899224806,P,-1.865096899224806,,7.650344961240311,-31.084948320413435,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.4239961240310075,,28.187596746666664,82.09805402,-0.500868217054264,P,-0.500868217054264,,7.9248643410852715,-8.347803617571067,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.427116279069768,,28.165586123333334,82.22550604,0.18487209302325613,P,0.18487209302325613,,7.242244186046512,3.0812015503876022,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.628709302325581,,29.08211494833333,80.59342040166666,-0.5233139534883726,P,-0.5233139534883726,,7.152023255813954,-8.72189922480621,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.323627906976744,,29.14422417,80.603425405,0.865488372093024,P,0.865488372093024,,7.4581395348837205,14.4248062015504,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.6202093023255815,,27.660612623333336,85.58988246333332,0.46630620155038827,P,0.46630620155038827,,6.153903100775193,7.771770025839804,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.142248062015504,,27.55800262333333,85.66629716833333,-0.24108527131783042,P,-0.24108527131783042,,8.383333333333335,-4.018087855297173,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.312015503875969,,27.647592708333335,85.56453263666668,0.22093023255813904,P,0.22093023255813904,,9.09108527131783,3.682170542635651,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.468372093023257,,28.804869253333333,81.39953541166668,0.6236666666666686,P,0.6236666666666686,,8.844705426356589,10.394444444444476,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.934263565891474,,28.639592261666667,81.59303487833333,0.752054263565892,P,0.752054263565892,,8.182209302325582,12.534237726098201,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.927639534883721,,28.833528344999998,81.3061916,-0.9800697674418606,P,-0.9800697674418606,,8.907709302325582,-16.33449612403101,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.879523255813952,,28.504911993333334,81.73683726,0.2820077519379822,P,0.2820077519379822,,8.59751550387597,4.70012919896637,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,,28.71301088166667,81.51050324166667,0.6031860465116292,P,0.6031860465116292,,8.375050387596898,10.05310077519382,,
