year,study,dataset_type,district,site,latitude,longitude,AE_N_kg_kg,AE_P_kg_kg,AE_K_kg_kg
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,28.804869253333333,81.39953541166668,,10.394444444444476,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,28.639592261666667,81.59303487833333,,12.534237726098201,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,28.639593618333336,81.59303235666667,14.157816537467697,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,28.6396009,81.59302820333333,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,28.83349251,81.30619469,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,28.83352142,81.306221895,4.97616279069768,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,28.833528344999998,81.3061916,,-16.33449612403101,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,28.504906716666667,81.73684531833334,9.555555555555546,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,28.504911993333334,81.73683726,,4.70012919896637,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,28.50494627666667,81.73688858333334,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,28.712982585000002,81.510500995,7.355361757105945,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,28.71301088166667,81.51050324166667,,10.05310077519382,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,28.713022403333337,81.51053496333333,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,28.464979775,81.79506163333333,,-0.3049095607234875,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,28.464984645,81.795062925,0.8209625322997441,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,28.46499699,81.79510354333333,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,28.443630965,81.8000034275,,9.977196382428962,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,28.44363555,81.80001288,13.390487726098202,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,28.44418109,81.80358763,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,28.4252502725,81.79800987083334,,2.5234173126614876,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,28.4252522925,81.79800271583335,15.500419896640825,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,28.42658842,81.79910268666667,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-6,28.44630107,81.81800988,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-7,28.43198303,81.80341728,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-7,28.44627709,81.81803668,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-8,28.43198979,81.80341761,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,28.488442363333334,81.74251475,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,28.488454214999997,81.74248673166667,6.511595607235139,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,28.48846378666667,81.74247823166667,,19.302067183462547,
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,28.040253510698676,82.37347660353407,,,30.710037790697697
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,28.040278845001012,82.3734773369506,,15.588372093023262,
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,28.040327512426302,82.37347383750603,12.901719961240321,,
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,27.97845462919213,82.46626743581146,,-8.673052325581429,
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,27.978472126415,82.46626930078492,,,-11.766424418604737
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,27.978487475775182,82.46625130064785,26.08627906976744,,
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,28.13425179803744,82.12076570140198,,,11.602267441860459
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,28.13432058203034,82.1207742090337,,12.241007751937973,
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,28.134322289843112,82.12076331255957,8.981259689922478,,
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,28.165802172152326,82.22751460270956,9.700750968992262,,
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,28.165807725163177,82.22750054206699,,,3.1302180232558374
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,28.165811077924445,82.22748124273494,,-4.115019379844931,
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,28.10959881870076,82.18604708556086,,,-32.588110465116316
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,28.109610008541495,82.18605806585401,18.685712209302324,,
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,28.10967269469984,82.18609519768506,,1.6999903100775111,
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,29.080777689814568,80.59055309509858,,-6.680654069767477,
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,29.080788869177923,80.59056403348222,10.965648740310074,,
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,29.0808416751679,80.59049970237538,,,16.908536337209323
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,29.254696208518,80.93249275814742,,-6.156053617571071,
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,29.254705267958343,80.93252466525882,-0.6950198966408472,,
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,29.254718001466244,80.93255240935832,,,-23.297663565891558
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,29.124538449570537,80.5812612567097,7.07910658914727,,
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,29.12458174629137,80.58126859925687,,11.794744186046469,
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,29.124730466399342,80.58136230893433,,,-34.88951162790701
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,27.5569936260581,85.66746931057423,35.130709447674434,,
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,27.55703482311219,85.66752936691046,,,62.242215988372116
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,27.557035828940574,85.66751826088876,,36.5607233527132,
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,27.650265789125115,85.57618087157607,,19.697984060077513,
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,27.650285947602242,85.57617022655904,,,30.97887834302322
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,27.650288147851825,85.57620677165687,33.56762730135658,,
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,,,17.734683808139533,10.712166453488367,9.64092409883719
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,27.88486796664074,85.15004914719611,,,-17.705505813953515
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,27.88490126375109,85.15014985576272,,-51.653746511627965,
