year,study,dataset_type,district,site,n_omission,soil_background,latitude,longitude,response_t_ha
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,8.098835697674419,6.789382965116278,29.080739772180095,80.59061547741294,1.3094527325581407
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,8.59045569767442,7.720761108527133,29.254708767402917,80.93253350816667,0.8696945891472874
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,8.325494186046512,7.222269767441861,29.12430316954851,80.58115516696125,1.1032244186046514
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,4.507763058139535,2.9267566104651164,27.556928058620542,85.66751964390278,1.5810064476744183
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,3.7852552180232557,3.342635645348837,27.650316499639302,85.57624184992164,0.44261957267441865
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,4.570539779069768,2.742325581395349,,,1.828214197674419
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,8.41852391860465,6.008917976744186,27.884923266246915,85.15010325238109,2.4096059418604643
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,1.7737178720930233,1.620817011627907,27.884346486534923,85.15048190485686,0.1529008604651163
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,8.864534882232558,8.257209302325581,27.86681341007352,83.54837232967839,0.607325579906977
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,7.871434107005815,5.791707364343022,27.809342356631532,83.69690019870177,2.0797267426627926
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,5.131782948837209,6.005674418604651,27.884640879929066,83.47849565092474,-0.8738914697674423
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,9.42674418604651,7.134883720930233,28.217880476731807,82.38473758567125,2.2918604651162777
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,11.232558139534884,11.860168604651165,28.229123626369983,82.35293299891055,-0.6276104651162804
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,10.220610465116279,9.719476744186046,28.805194973247126,81.3999076327309,0.5011337209302322
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,8.047848837209303,7.139387790697674,28.501447626622394,81.74197743879631,0.9084610465116292
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,7.542087209302327,6.868965697674419,28.714248400647193,81.50840313406661,0.6731215116279081
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,7.4454244186046505,6.102918604651163,28.465095773572102,81.79056592751294,1.3425058139534878
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,5.256697093023256,4.673941860465117,28.44778362312354,81.79641574155539,0.5827552325581387
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,8.400393488372092,5.644310232558139,28.489946932531893,81.74422927480191,2.7560832558139534
