study_key,study_id,source_file,field,column_used,n_rows,n_non_missing,n_missing,pct_missing
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,agroecology,agroecology,28,0,28,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,latitude,latitude,28,28,0,0.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,longitude,longitude,28,28,0,0.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,soil_ph,,28,0,28,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,soil_organic,,28,0,28,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,soil_n,,28,0,28,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,soil_p,,28,0,28,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,soil_k,,28,0,28,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,grain_yield,grain_yield_Mg_ha,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,n_rate,N_rate_kg_ha,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,p_rate,P2O5_rate_kg_ha,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,k_rate,K2O_rate_kg_ha,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,treatment_group,treatment_group,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,season,season,14,14,0,0.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,district,district,14,14,0,0.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,site,site,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,agroecology,agroecology,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,latitude,latitude,14,14,0,0.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,longitude,longitude,14,14,0,0.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,soil_ph,,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,soil_organic,,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,soil_n,,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,soil_p,,14,0,14,100.0
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,soil_k,,14,0,14,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,grain_yield,grain_yield_Mg_ha,8,8,0,0.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,n_rate,N_rate_kg_ha,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,p_rate,P2O5_rate_kg_ha,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,k_rate,K2O_rate_kg_ha,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,treatment_group,treatment_group,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,season,season,8,8,0,0.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,district,district,8,8,0,0.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,site,site,8,8,0,0.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,agroecology,agroecology,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,latitude,latitude,8,8,0,0.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,longitude,longitude,8,8,0,0.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,soil_ph,,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,soil_organic,,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,soil_n,,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,soil_p,,8,0,8,100.0
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,soil_k,,8,0,8,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,grain_yield,grain_yield_Mg_ha,460,460,0,0.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,n_rate,N_rate_kg_ha,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,p_rate,P2O5_rate_kg_ha,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,k_rate,K2O_rate_kg_ha,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,treatment_group,treatment_group,460,460,0,0.0
